Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,187.21000700000002,187.399994,185.199997,185.529999,4546500.0,178.519329
2014-01-03,185.830002,187.350006,185.300003,186.639999,4063200.0,179.587385
2014-01-06,187.149994,187.360001,185.300003,186.0,4067800.0,178.97156999999999
2014-01-07,186.389999,190.350006,186.380005,189.71000700000002,5932300.0,182.54138600000002
2014-01-08,189.330002,189.419998,187.259995,187.970001,4603700.0,180.86713
2014-01-09,189.020004,189.5,186.550003,187.380005,4321300.0,180.299428
2014-01-10,188.309998,188.570007,186.279999,187.259995,4022400.0,180.183953
2014-01-13,186.259995,186.949997,183.860001,184.16000400000001,5784700.0,177.201102
2014-01-14,185.059998,186.429993,183.880005,185.919998,4619200.0,178.894591
2014-01-15,185.820007,188.649994,185.490005,187.740005,4816500.0,180.645825
2014-01-16,187.529999,188.990005,186.800003,188.759995,4770300.0,181.627272
2014-01-17,188.03999299999998,190.809998,187.860001,190.08999599999999,7644600.0,182.907016
2014-01-21,190.229996,190.389999,186.78999299999998,188.429993,11076300.0,181.30973999999998
2014-01-22,181.279999,183.5,179.669998,182.25,13796100.0,175.363272
2014-01-23,181.429993,183.720001,180.71000700000002,182.729996,6973900.0,175.82513
2014-01-24,181.25,182.809998,179.639999,179.639999,6890600.0,172.85189599999998
2014-01-27,179.610001,179.649994,177.66000400000001,177.899994,5208600.0,171.177641
2014-01-28,178.050003,178.449997,176.16000400000001,176.850006,5333300.0,170.167329
2014-01-29,175.979996,178.529999,175.889999,176.399994,4970900.0,169.734322
2014-01-30,177.169998,177.860001,176.360001,177.360001,4853700.0,170.658052
2014-01-31,176.110001,177.83999599999999,175.33999599999999,176.679993,5193400.0,170.00374
2014-02-03,176.020004,176.020004,172.720001,172.899994,7186800.0,166.366577
2014-02-04,173.529999,173.75,172.360001,172.83999599999999,4349800.0,166.308847
2014-02-05,172.190002,174.970001,172.190002,174.240005,4712300.0,167.655953
2014-02-06,173.970001,174.850006,173.78999299999998,174.669998,4292200.0,168.991084
2014-02-07,175.639999,177.559998,175.070007,177.25,4692900.0,171.487204
2014-02-10,176.970001,177.649994,176.25,177.139999,3540400.0,171.38078000000002
2014-02-11,176.809998,180.389999,176.800003,179.699997,4647300.0,173.85754599999999
2014-02-12,179.520004,181.25,179.259995,180.240005,3983000.0,174.379998
2014-02-13,178.220001,182.360001,177.860001,181.83999599999999,4482000.0,175.927969
2014-02-14,181.259995,184.429993,180.990005,183.690002,4659900.0,177.717828
2014-02-18,183.179993,184.0,182.320007,183.190002,4435200.0,177.234084
2014-02-19,182.740005,185.649994,182.41000400000001,182.949997,4671500.0,177.001881
2014-02-20,182.96000700000002,184.860001,182.78999299999998,184.259995,4968200.0,178.269288
2014-02-21,184.25,185.71000700000002,182.619995,182.78999299999998,5699300.0,176.84708
2014-02-24,182.820007,185.16000400000001,182.820007,183.449997,4595300.0,177.485625
2014-02-25,183.520004,184.600006,182.880005,183.229996,3902300.0,177.272777
2014-02-26,183.940002,185.279999,183.559998,184.059998,3740700.0,178.075793
2014-02-27,183.830002,185.949997,183.809998,185.270004,3827800.0,179.24646
2014-02-28,185.380005,186.119995,183.649994,185.169998,4667900.0,179.149705
2014-03-03,183.330002,184.639999,182.820007,184.259995,3950100.0,178.269288
2014-03-04,185.809998,187.16000400000001,185.679993,186.440002,4733000.0,180.378419
2014-03-05,186.570007,187.949997,186.399994,187.139999,3485200.0,181.055657
2014-03-06,187.369995,188.389999,186.899994,187.639999,3817300.0,181.539401
2014-03-07,188.350006,188.919998,187.179993,187.679993,4117800.0,181.578094
2014-03-10,187.550003,188.369995,185.850006,186.389999,4591200.0,180.330042
2014-03-11,187.41000400000001,188.449997,186.03999299999998,186.759995,4229500.0,180.688007
2014-03-12,186.009995,187.449997,185.889999,186.220001,4833000.0,180.16557
2014-03-13,186.41000400000001,187.0,183.71000700000002,183.899994,4913200.0,177.92099199999998
